iter	Passed	Remaining
0	19	39153
1	38	38269
2	53	35847
3	72	36169
4	84	33798
5	143	47538
6	158	45025
7	169	42312
8	190	42051
9	199	39676
10	209	37925
11	218	36151
12	231	35381
13	244	34631
14	257	34109
15	271	33635
16	281	32786
17	289	31846
18	296	30953
19	304	30141
20	311	29338
21	318	28673
22	326	28104
23	338	27872
24	347	27475
25	358	27228
26	366	26808
27	375	26456
28	384	26101
29	391	25721
30	399	25361
31	406	24998
32	413	24651
33	421	24370
34	429	24129
35	439	23994
36	447	23765
37	459	23707
38	471	23730
39	485	23772
40	498	23815
41	518	24182
42	539	24534
43	559	24869
44	591	25677
45	599	25475
46	608	25270
47	617	25109
48	624	24853
49	631	24636
50	638	24409
51	646	24226
52	654	24038
53	662	23872
54	671	23732
55	679	23589
56	687	23428
57	695	23292
58	705	23218
59	713	23064
60	720	22893
61	727	22748
62	736	22634
63	746	22575
64	755	22502
65	764	22415
66	774	22347
67	782	22227
68	791	22137
69	799	22030
70	807	21937
71	814	21812
72	821	21694
73	829	21577
74	836	21470
75	844	21385
76	853	21307
77	861	21225
78	869	21143
79	876	21038
80	885	20971
81	893	20894
82	902	20851
83	909	20752
84	917	20671
85	924	20582
86	933	20518
87	943	20494
88	951	20440
89	959	20365
90	982	20605
91	992	20575
92	999	20492
93	1006	20415
94	1014	20347
95	1022	20286
96	1032	20248
97	1041	20209
98	1049	20149
99	1058	20102
100	1066	20054
101	1074	19986
102	1081	19926
103	1090	19873
104	1098	19818
105	1106	19775
106	1114	19708
107	1121	19643
108	1128	19571
109	1135	19510
110	1143	19461
111	1151	19413
112	1164	19438
113	1172	19392
114	1181	19374
115	1189	19320
116	1196	19264
117	1204	19211
118	1212	19166
119	1222	19149
120	1230	19109
121	1243	19134
122	1251	19097
123	1260	19074
124	1271	19072
125	1280	19038
126	1290	19034
127	1298	18986
128	1305	18932
129	1313	18895
130	1322	18862
131	1331	18839
132	1338	18794
133	1345	18738
134	1353	18698
135	1362	18670
136	1370	18643
137	1379	18609
138	1386	18563
139	1394	18528
140	1402	18488
141	1410	18457
142	1419	18438
143	1427	18396
144	1434	18352
145	1442	18313
146	1449	18275
147	1459	18268
148	1467	18229
149	1474	18183
150	1482	18147
151	1490	18124
152	1499	18098
153	1507	18072
154	1515	18033
155	1522	17996
156	1529	17959
157	1537	17929
158	1546	17906
159	1555	17884
160	1566	17888
161	1578	17910
162	1591	17941
163	1605	17975
164	1620	18018
165	1640	18123
166	1655	18172
167	1674	18262
168	1696	18376
169	1710	18411
170	1720	18399
171	1727	18360
172	1735	18328
173	1743	18300
174	1753	18284
175	1762	18262
176	1773	18265
177	1782	18246
178	1791	18225
179	1801	18211
180	1810	18190
181	1819	18175
182	1829	18164
183	1837	18139
184	1846	18118
185	1855	18095
186	1864	18073
187	1873	18055
188	1884	18055
189	1893	18038
190	1902	18018
191	1912	18007
192	1921	17987
193	1930	17969
194	1940	17962
195	1951	17960
196	1959	17930
197	1971	17946
198	1979	17914
199	1988	17899
200	1998	17888
201	2006	17862
202	2015	17842
203	2028	17857
204	2037	17841
205	2048	17835
206	2057	17818
207	2068	17818
208	2076	17798
209	2089	17808
210	2098	17792
211	2110	17798
212	2121	17802
213	2131	17788
214	2142	17787
215	2153	17784
216	2164	17788
217	2177	17795
218	2186	17783
219	2199	17798
220	2216	17838
221	2226	17834
222	2238	17833
223	2250	17845
224	2262	17845
225	2272	17841
226	2285	17848
227	2295	17840
228	2308	17853
229	2319	17852
230	2329	17837
231	2341	17840
232	2352	17843
233	2366	17861
234	2377	17854
235	2389	17858
236	2401	17862
237	2411	17850
238	2420	17838
239	2430	17827
240	2440	17811
241	2451	17806
242	2460	17789
243	2471	17789
244	2482	17781
245	2493	17781
246	2505	17783
247	2514	17760
248	2524	17754
249	2534	17741
250	2545	17738
251	2554	17716
252	2564	17709
253	2575	17701
254	2585	17693
255	2595	17680
256	2604	17661
257	2616	17664
258	2628	17671
259	2638	17654
260	2647	17640
261	2656	17621
262	2665	17606
263	2675	17590
264	2684	17574
265	2697	17584
266	2711	17597
267	2727	17628
268	2760	17765
269	2780	17816
270	2801	17872
271	2821	17921
272	2834	17933
273	2845	17926
274	2853	17901
275	2862	17883
276	2871	17862
277	2879	17836
278	2886	17807
279	2897	17798
280	2907	17784
281	2919	17785
282	2932	17791
283	2943	17782
284	2951	17761
285	2960	17742
286	2969	17722
287	2978	17705
288	2987	17684
289	2997	17673
290	3006	17655
291	3019	17661
292	3028	17641
293	3035	17612
294	3043	17590
295	3051	17565
296	3058	17537
297	3066	17513
298	3076	17501
299	3083	17474
300	3091	17447
301	3099	17429
302	3109	17417
303	3118	17397
304	3127	17380
305	3138	17373
306	3147	17356
307	3156	17338
308	3167	17332
309	3176	17318
310	3185	17300
311	3192	17274
312	3202	17259
313	3213	17253
314	3223	17241
315	3233	17231
316	3242	17215
317	3250	17194
318	3259	17177
319	3267	17152
320	3275	17130
321	3283	17109
322	3291	17090
323	3300	17073
324	3308	17053
325	3317	17036
326	3325	17015
327	3333	16994
328	3341	16973
329	3349	16952
330	3358	16933
331	3366	16913
332	3375	16899
333	3383	16878
334	3392	16859
335	3400	16840
336	3410	16831
337	3417	16805
338	3450	16905
339	3488	17030
340	3497	17015
341	3516	17045
342	3524	17025
343	3535	17017
344	3544	17002
345	3552	16984
346	3560	16961
347	3568	16939
348	3576	16917
349	3584	16898
350	3592	16876
351	3601	16862
352	3610	16845
353	3618	16825
354	3627	16808
355	3635	16788
356	3643	16766
357	3650	16745
358	3659	16726
359	3667	16708
360	3675	16686
361	3682	16664
362	3690	16644
363	3698	16621
364	3706	16602
365	3716	16593
366	3725	16576
367	3734	16559
368	3742	16544
369	3751	16526
370	3759	16507
371	3767	16489
372	3777	16477
